e-shang Redwood,2.80,7/26/17,China,Real Estate,"SK Group, GF Investments, China Minsheng Banking Corp."
URWork,1.30,1/18/17,China,Real Estate,"Ant Financial Services Group, Dahong Group, Sequoia Capital China"
EasyHome,5.70,2/12/18,China,Retail,"Alibaba Group, Boyu Capital, Borui Capital"
UBTECH Robotics,1.00,7/26/16,China,Robotics,"CDH Investments, Goldstone Investments, Qiming Venture Partners"
Kuaishou,3.00,1/1/15,China,Social,"Morningside Venture Capital, Sequoia Capital, Baidu"
Yixia,1.00,11/24/15,China,Social,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures"
Mogujie,1.00,6/6/14,China,Social,"IDG Capital Partners, QiMing Venture Partners, Banyan Capital"
YH Global,1.00,9/21/17,China,Supplychain/ logistics,"Co-Energy Finance, Grandland"
LIfeMiles,1.15,7/13/15,Colombia,Business Products & Services,Advent International
AVAST Software,1.00,2/5/14,Czech Republic,Cybersecurity,"Summit Partners, CVC Capital Partners"
OVH,1.10,7/3/15,France,Big Data,"Kohlberg Kravis Roberts & Co.,TowerBrook Capital Partners"
BlaBlaCar,1.60,9/16/15,France,On-Demand,"Accel Partners, Index Ventures, Insight Venture Partners"
Auto1 Group,3.54,8/3/15,Germany,eCommerce/Marketplace,"Digital Sky Technologies, Piton Capital, DN Capital, SoftBank Group"
Otto Bock HealthCare,3.50,6/24/17,Germany,Healthcare,EQT Partners
CureVac,1.65,3/5/15,Germany,Healthcare,"Northview Ventures, dievini Hopp BioTech Holding & Co.m Baillie Gifford & Co."
NuCom Group,2.20,2/22/18,Germany,Management & Strategy Consulting,General Atlantic
InMobi,1.00,12/2/14,India,Adtech,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures"
Flipkart,11.60,8/6/12,India,eCommerce/Marketplace,"Accel Partners, SoftBank Group, Iconiq Capital"
Snapdeal,7.00,5/21/14,India,eCommerce/Marketplace,"SoftBankGroup,Blackrock, Alibaba Group"
Shopclues,1.10,1/12/16,India,eCommerce/Marketplace,"Nexus Venture Partners, GIC Special Investments, Tiger Global Management"
Quikr,1.00,4/7/15,India,eCommerce/Marketplace,"Brand Capital, Tiger Global Management, Kinnevik"
ReNew Power Ventures,2.00,2/14/17,India,Energy & Utilities,"Goldman Sachs, JERA, Asian Development Bank"
One97 Communications (operates Paytm),5.70,5/12/15,India,Fintech,"Intel Capital, Sapphire Ventures, Alibaba Group"
Olacabs,3.65,10/27/14,India,On-demand,"Accel Partners, SoftBank Group, Sequoia Capital"
Hike,1.40,8/16/16,India,Social,"Foxconn, Tiger Global management, Tencent"
Zomato Media,1.00,4/10/15,India,Social,"Sequoia Capital, VY Capital"
Go-Jek,1.80,8/4/16,Indonesia,On-Demand,"Formation Group, Sequoia Capital India, Warburg Pincus"
Traveloka,2.00,7/28/17,Indonesia,TravelTech,"Global Founders Capital, East Ventures, Expedia Inc."
OrCam Technologies,1.00,2/21/18,Israel,Consumer Electronics,"Intel Capital, Aviv Venture Capital"
Infinidat,1.60,4/29/15,Israel,Hardware,"TPG Growth, Goldman Sachs"
ironSource,1.50,8/11/14,Israel,Mobile Software & Services,"Access Industries, Clal Industries and Investments"
Mercari,1.00,3/2/16,Japan,eCommerce/Marketplace,"East Ventures, Global Brain Corporation, ITOCHU Technology Ventures"
Global Fashion Group,1.10,4/8/15,Luxembourg,eCommerce/Marketplace,"Access Industries, Rocket Internet, Tengelmann Ventures"
VistaJet,2.50,8/23/17,Malta,On-demand,Rhone Capital
letgo,1.00,9/28/17,Netherlands,eCommerce/Marketplace,"Accel Partners, FJ Labs, Insight Venture Partners"
Adyen,2.30,12/16/14,Netherlands,Fintech,"Felicis Ventures, Index Ventures, Temasek Holdings"
Africa Internet Group,1.04,2/8/16,Nigeria,eCommerce/Marketplace,AXA
GrabTaxi,6.00,12/4/14,Singapore,On-Demand,"GGV Capital, Vertex Venture Holdings, Softbank Group"
Promasidor Holdings,1.58,11/8/16,South Africa,Food and Beverage,"IFC, Ajinomoto"
Cell C,1.00,8/8/17,South Africa,Telecommunications,"Blue Label Telecoms, Net1 UEPS Technologies"
L&P Cosmetic,1.78,4/28/17,South Korea,Beauty & grooming,CDIB Capital
